s_id	sentence	target_tags	opinion_words_tags
train-0	Rao is a good restaurant , but it 's nothing special .	Rao\B is\O a\O good\O restaurant\O ,\O but\O it\O 's\O nothing\O special\O .\O	Rao\O is\O a\O good\B restaurant\O ,\O but\O it\O 's\O nothing\O special\O .\O
train-1	I had Lobster Bisque it has 2 oz . of Maine Lobster in it .	I\O had\O Lobster\B Bisque\I it\O has\O 2\O oz\O .\O of\O Maine\O Lobster\O in\O it\O .\O	I\O had\O Lobster\O Bisque\O it\O has\O 2\O oz\O .\O of\O Maine\O Lobster\O in\O it\O .\O
train-2	Great pizza and fantastic service .	Great\O pizza\B and\O fantastic\O service\O .\O	Great\B pizza\O and\O fantastic\O service\O .\O
train-3	Great pizza and fantastic service .	Great\O pizza\O and\O fantastic\O service\B .\O	Great\O pizza\O and\O fantastic\B service\O .\O
train-4	It 's a nice place to relax and have conversation .	It\O 's\O a\O nice\O place\B to\O relax\O and\O have\O conversation\O .\O	It\O 's\O a\O nice\B place\O to\O relax\O and\O have\O conversation\O .\O
train-5	This place blew me away ... by far my new favorite restaurant on the uppereast side .	This\O place\B blew\O me\O away\O ...\O by\O far\O my\O new\O favorite\O restaurant\O on\O the\O uppereast\O side\O .\O	This\O place\O blew\O me\O away\O ...\O by\O far\O my\O new\O favorite\B restaurant\O on\O the\O uppereast\O side\O .\O
train-6	The pizza is overpriced and soggy .	The\O pizza\B is\O overpriced\O and\O soggy\O .\O	The\O pizza\O is\O overpriced\B and\O soggy\B .\O
train-7	We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .	We\O ate\O out\O in\O the\O back\B patio\I ,\O which\O is\O worth\O it\O as\O it\O 's\O cool\O and\O the\O music\O is\O hear\O well\O there\O .\O	We\O ate\O out\O in\O the\O back\O patio\O ,\O which\O is\O worth\B it\O as\O it\O 's\O cool\B and\O the\O music\O is\O hear\O well\O there\O .\O
train-8	We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .	We\O ate\O out\O in\O the\O back\O patio\O ,\O which\O is\O worth\O it\O as\O it\O 's\O cool\O and\O the\O music\B is\O hear\O well\O there\O .\O	We\O ate\O out\O in\O the\O back\O patio\O ,\O which\O is\O worth\O it\O as\O it\O 's\O cool\O and\O the\O music\O is\O hear\O well\B there\O .\O
train-9	I found it on a cold night , the perfect spot to warm up .	I\O found\O it\O on\O a\O cold\O night\O ,\O the\O perfect\O spot\B to\O warm\O up\O .\O	I\O found\O it\O on\O a\O cold\O night\O ,\O the\O perfect\B spot\O to\O warm\O up\O .\O
train-10	Authentic Pakistani food .	Authentic\O Pakistani\B food\I .\O	Authentic\B Pakistani\O food\O .\O
train-11	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	This\O place\B is\O pricey\O ,\O and\O yes\O ,\O the\O food\O is\O worth\O it\O ;\O but\O the\O service\O makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O	This\O place\O is\O pricey\B ,\O and\O yes\O ,\O the\O food\O is\O worth\O it\O ;\O but\O the\O service\O makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O
train-12	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	This\O place\O is\O pricey\O ,\O and\O yes\O ,\O the\O food\B is\O worth\O it\O ;\O but\O the\O service\O makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O	This\O place\O is\O pricey\O ,\O and\O yes\O ,\O the\O food\O is\O worth\B it\O ;\O but\O the\O service\O makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O
train-13	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	This\O place\O is\O pricey\O ,\O and\O yes\O ,\O the\O food\O is\O worth\O it\O ;\O but\O the\O service\B makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O	This\O place\O is\O pricey\O ,\O and\O yes\O ,\O the\O food\O is\O worth\O it\O ;\O but\O the\O service\O makes\O you\O feel\O like\O you\O should\O be\O paying\O a\O quater\O of\O the\O price\O .\O
train-14	The fried dumplings are GREAT !	The\O fried\B dumplings\I are\O GREAT\O !\O	The\O fried\O dumplings\O are\O GREAT\B !\O
train-15	I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !	I\O like\O Cafe\O Noir\O dont\O get\O me\O wrong\O ,\O it\O is\O jsut\O that\O the\O people\B who\O work\O there\O are\O evil\O and\O incompetent\O !\O !\O	I\O like\O Cafe\O Noir\O dont\O get\O me\O wrong\O ,\O it\O is\O jsut\O that\O the\O people\O who\O work\O there\O are\O evil\B and\O incompetent\B !\O !\O
train-16	I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !	I\O like\O Cafe\B Noir\I dont\O get\O me\O wrong\O ,\O it\O is\O jsut\O that\O the\O people\O who\O work\O there\O are\O evil\O and\O incompetent\O !\O !\O	I\O like\B Cafe\O Noir\O dont\O get\O me\O wrong\O ,\O it\O is\O jsut\O that\O the\O people\O who\O work\O there\O are\O evil\O and\O incompetent\O !\O !\O
train-17	Salads are a delicious way to begin the meal .	Salads\B are\O a\O delicious\O way\O to\O begin\O the\O meal\O .\O	Salads\O are\O a\O delicious\B way\O to\O begin\O the\O meal\O .\O
train-18	Great bagels made the old-fashioned way .	Great\O bagels\B made\O the\O old-fashioned\O way\O .\O	Great\B bagels\O made\O the\O old-fashioned\O way\O .\O
train-19	We were greeted promptly by the waiter who was very nice and cordial .	We\O were\O greeted\O promptly\O by\O the\O waiter\B who\O was\O very\O nice\O and\O cordial\O .\O	We\O were\O greeted\O promptly\O by\O the\O waiter\O who\O was\O very\O nice\B and\O cordial\B .\O
