s_id	sentence	target_tags	opinion_words_tags
train-0	Great food and the prices are very reasonable .	Great\O food\B and\O the\O prices\O are\O very\O reasonable\O .\O	Great\B food\O and\O the\O prices\O are\O very\O reasonable\O .\O
train-1	Great food and the prices are very reasonable .	Great\O food\O and\O the\O prices\B are\O very\O reasonable\O .\O	Great\O food\O and\O the\O prices\O are\O very\O reasonable\B .\O
train-2	Great staff .	Great\O staff\B .\O	Great\B staff\O .\O
train-3	As I made the title , it 's an affordable restaurant for great taste .	As\O I\O made\O the\O title\O ,\O it\O 's\O an\O affordable\O restaurant\O for\O great\O taste\B .\O	As\O I\O made\O the\O title\O ,\O it\O 's\O an\O affordable\O restaurant\O for\O great\B taste\O .\O
train-4	The wine list is excellent .	The\O wine\B list\I is\O excellent\O .\O	The\O wine\O list\O is\O excellent\B .\O
train-5	I have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgnin olive oil .	I\O have\O n't\O eat\O a\O lamb\B chop\I as\O delicious\O as\O that\O ,\O the\O salads\O are\O really\O nice\O dressed\O with\O lemon\O and\O extra\O virgnin\O olive\O oil\O .\O	I\O have\O n't\O eat\O a\O lamb\O chop\O as\O delicious\B as\O that\O ,\O the\O salads\O are\O really\O nice\O dressed\O with\O lemon\O and\O extra\O virgnin\O olive\O oil\O .\O
train-6	I have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgnin olive oil .	I\O have\O n't\O eat\O a\O lamb\O chop\O as\O delicious\O as\O that\O ,\O the\O salads\B are\O really\O nice\O dressed\O with\O lemon\O and\O extra\O virgnin\O olive\O oil\O .\O	I\O have\O n't\O eat\O a\O lamb\O chop\O as\O delicious\O as\O that\O ,\O the\O salads\O are\O really\O nice\B dressed\O with\O lemon\O and\O extra\O virgnin\O olive\O oil\O .\O
train-7	The service was excellent - friendly and attentive .	The\O service\B was\O excellent\O -\O friendly\O and\O attentive\O .\O	The\O service\O was\O excellent\B -\O friendly\B and\O attentive\B .\O
train-8	The staff offers impeccable service .	The\O staff\B offers\O impeccable\O service\O .\O	The\O staff\O offers\O impeccable\B service\O .\O
train-9	The staff offers impeccable service .	The\O staff\O offers\O impeccable\O service\B .\O	The\O staff\O offers\O impeccable\B service\O .\O
train-10	I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork .	I\O fell\O in\O love\O with\O the\O egg\B noodles\I in\I the\I beef\I broth\I with\I shrimp\I dumplings\I and\I slices\I of\I BBQ\I roast\I pork\I .\O	I\O fell\O in\O love\B with\O the\O egg\O noodles\O in\O the\O beef\O broth\O with\O shrimp\O dumplings\O and\O slices\O of\O BBQ\O roast\O pork\O .\O
train-11	The music does get a little loud at times , but it just made me want to lean closer to my beautiful wife , and as I did , I got a whiff of corriander .	The\O music\B does\O get\O a\O little\O loud\O at\O times\O ,\O but\O it\O just\O made\O me\O want\O to\O lean\O closer\O to\O my\O beautiful\O wife\O ,\O and\O as\O I\O did\O ,\O I\O got\O a\O whiff\O of\O corriander\O .\O	The\O music\O does\O get\O a\O little\O loud\B at\O times\O ,\O but\O it\O just\O made\O me\O want\O to\O lean\O closer\O to\O my\O beautiful\O wife\O ,\O and\O as\O I\O did\O ,\O I\O got\O a\O whiff\O of\O corriander\O .\O
train-12	Best Taiwanese food in NY !	Best\O Taiwanese\B food\I in\O NY\O !\O	Best\B Taiwanese\O food\O in\O NY\O !\O
train-13	Disappointing food , lousy service .	Disappointing\O food\B ,\O lousy\O service\O .\O	Disappointing\B food\O ,\O lousy\O service\O .\O
train-14	Disappointing food , lousy service .	Disappointing\O food\O ,\O lousy\O service\B .\O	Disappointing\O food\O ,\O lousy\B service\O .\O
train-15	Really tasty spring rolls and noodles for a good price though .	Really\O tasty\O spring\B rolls\I and\O noodles\O for\O a\O good\O price\O though\O .\O	Really\O tasty\B spring\O rolls\O and\O noodles\O for\O a\O good\O price\O though\O .\O
train-16	Really tasty spring rolls and noodles for a good price though .	Really\O tasty\O spring\O rolls\O and\O noodles\B for\O a\O good\O price\O though\O .\O	Really\O tasty\B spring\O rolls\O and\O noodles\O for\O a\O good\O price\O though\O .\O
train-17	Really tasty spring rolls and noodles for a good price though .	Really\O tasty\O spring\O rolls\O and\O noodles\O for\O a\O good\O price\B though\O .\O	Really\O tasty\O spring\O rolls\O and\O noodles\O for\O a\O good\B price\O though\O .\O
train-18	Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .	Admittedly\O some\O nights\O inside\O the\O restaurant\O were\O rather\O warm\O ,\O but\O the\O open\B kitchen\I is\O part\O of\O the\O charm\O .\O	Admittedly\O some\O nights\O inside\O the\O restaurant\O were\O rather\O warm\O ,\O but\O the\O open\O kitchen\O is\O part\O of\O the\O charm\B .\O
train-19	Prices too high for this cramped and unappealing resturant .	Prices\B too\O high\O for\O this\O cramped\O and\O unappealing\O resturant\O .\O	Prices\O too\O high\B for\O this\O cramped\O and\O unappealing\O resturant\O .\O
train-20	The food was authentic .	The\O food\B was\O authentic\O .\O	The\O food\O was\O authentic\B .\O
train-21	NO more reservations , expensive tips and annoying stuff .	NO\O more\O reservations\B ,\O expensive\O tips\O and\O annoying\O stuff\O .\O	NO\B more\I reservations\O ,\O expensive\O tips\O and\O annoying\O stuff\O .\O
train-22	NO more reservations , expensive tips and annoying stuff .	NO\O more\O reservations\O ,\O expensive\O tips\B and\O annoying\O stuff\O .\O	NO\O more\O reservations\O ,\O expensive\B tips\O and\O annoying\O stuff\O .\O
train-23	NO more reservations , expensive tips and annoying stuff .	NO\O more\O reservations\O ,\O expensive\O tips\O and\O annoying\O stuff\B .\O	NO\O more\O reservations\O ,\O expensive\O tips\O and\O annoying\B stuff\O .\O
train-24	Plus they made a perfect martini .	Plus\O they\O made\O a\O perfect\O martini\B .\O	Plus\O they\O made\O a\O perfect\B martini\O .\O
train-25	If you like the food and the value you get from some of Chinatown restaurants , this is not the place for you .	If\O you\O like\O the\O food\B and\O the\O value\O you\O get\O from\O some\O of\O Chinatown\O restaurants\O ,\O this\O is\O not\O the\O place\O for\O you\O .\O	If\O you\O like\B the\O food\O and\O the\O value\O you\O get\O from\O some\O of\O Chinatown\O restaurants\O ,\O this\O is\O not\O the\O place\O for\O you\O .\O
